Ir. szám;Település;Településrész
7385;Gödre;Gödreszentmárton
7386;Gödre;Gödrekeresztúr
7409;Kaposvár;Kaposfüred
7557;Barcs;Somogytarnóca
7691;Pécs;Vasas
7693;Pécs;Hird
7693;Pécs;Vasas
7714;Mohács;Újmohács
7715;Mohács;Sárhát
8019;Székesfehérvár;Börgönd
8054;Balinka;Eszény
8103;Várpalota;Inota
8104;Várpalota;Inotai Erõmû
8131;Enying;Balatonbozsok
8171;Balatonvilágos;Balatonaliga
8172;Balatonkenese;Balatonakarattya
8173;Balatonkenese;Üdülõtelep
8182;Berhida;Peremartongyártelep
8184;Balatonfûzfõ;Fûzfõgyártelep
8236;Balatonfüred;Balatonarács
8257;Badacsonytomaj;Badacsonyörs
8261;Badacsonytomaj;Badacsony
8297;Tapolca;Diszel
8411;Veszprém;Kádárta
8412;Veszprém;Gyulafirátót
8447;Ajka;Ajkarendek
8448;Ajka;Bakonygyepes
8451;Ajka;Padragkút
8511;Pápa;Borsosgyõr
8531;Marcaltõ;Ihász
8591;Pápa;Kéttornyúlak
8598;Pápa;Tapolcafõ
8609;Siófok;Balatonszéplak
8611;Siófok;Balatonkiliti
8691;Balatonboglár;Szõlõskislak
8709;Marcali;Horvátkút
8714;Marcali;Bize
8751;Zalakomár;Kiskomárom
8752;Zalakomár;Komárváros
8785;Zalaszentgrót;Zalakoppány
8789;Zalaszentgrót;Zalaudvarnok
8793;Zalaszentgrót;Tekenye
8795;Zalaszentgrót;Csáford
8808;Nagykanizsa;Palin
8809;Nagykanizsa;Sánc
8831;Nagykanizsa;Miklósfa
8904;Zalaegerszeg;Andráshida
8908;Zalaegerszeg;Szanatórium
8966;Lenti;Lentikápolna
9010;Gyõr;Bácsa
9011;Gyõr;Gyõrszentiván
9012;Gyõr;Ménfõcsanak
9019;Gyõr;Gyirmót
9025;Gyõr;Pinnyéd
9027;Gyõr;Városrét
9098;Mezõörs;Mindszentpuszta
9183;Mosonszentmiklós;Mosonújhely
9241;Jánossomorja;Mosonszentjános
9242;Jánossomorja;Pusztasomorja
9339;Kapuvár;Öntésmajor
